,,,General Data,,,,,,,,,Time to Reach,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Average Time
9,10,5.19,10,0,0,0,,,2.83,5.13,3.25,3.43,3.01,2.83,3.37,2.83,3.56,2.89,3.31
10,10,5.8,10,0,0,0,,,3.19,2.83,4.03,3.42,2.7,5.72,3.27,3.42,3.19,2.95,3.47
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Average Time
1,10,10,2,7,1,7,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.1,#N/A,8.33,#N/A,7.16
2,10,10,3,6,0,10,,,6.74,4.98,#N/A,3.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.23
3,10,10,5,0,0,8,,,3.89,#N/A,#N/A,#N/A,8.89,#N/A,3.11,#N/A,3.45,4.68,7.43
4,10,8.57,10,0,0,5,,,6.23,7.53,4.11,3.05,3.93,3,4.89,3.6,8.5,4.34,4.92
5,10,5.42,10,0,0,0,,,3.39,3.46,3.26,5.35,3.67,2.87,2.81,3.06,5.28,4.49,3.76
6,10,5.62,10,0,0,0,,,3.13,3.07,3.31,3.31,2.88,5.56,2.82,2.76,3.07,2.76,3.27
7,10,5.2,10,0,0,0,,,2.99,3.19,4.64,3.19,4.01,3.19,5.11,4.88,3.05,4.24,3.85
8,10,5.35,10,0,0,0,,,5.27,3.07,3.61,2.95,3.96,3.33,3.33,3.68,3.61,3.07,3.59
9,10,4.9,10,0,0,0,,,2.85,2.92,2.99,3.61,3.88,4.83,2.99,3.44,3.8,3.8,3.51
10,10,4.41,10,0,0,0,,,2.88,2.94,3.01,3.41,3.86,3.41,3.07,3.07,4.34,3.47,3.35
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Average Time
1,10,10,2,7,1,7,,,#N/A,#N/A,#N/A,4.46,#N/A,#N/A,#N/A,#N/A,4.61,#N/A,6.37
2,10,10,1,3,0,7,,,#N/A,#N/A,4.26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.22
