,,,General Data,,,,,,,,,Time to Reach,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Average Time
3,6,1.7,0,6,1,6,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4,6,8.04,6,0,0,0,,,7.82,4.33,8.01,3.42,7.6,6.38,6.26
5,6,4.14,6,0,0,0,,,3,3.51,3.45,4.11,3.42,2.91,3.4
6,6,4.33,6,0,0,0,,,3.75,3.47,4.3,3.32,3.11,2.97,3.49
7,6,5.52,6,0,0,0,,,3.3,5.49,2.81,3.02,3.63,3.13,3.56
8,6,4.13,6,0,0,0,,,3.31,3.81,4.1,3.87,3.22,3.55,3.64
9,6,3.75,6,0,0,0,,,2.92,3.71,2.73,3.05,3.31,3.05,3.13
10,6,4.18,6,0,0,0,,,2.97,3.6,2.97,2.89,2.83,4.14,3.23
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Average Time
1,5,10,0,4,1,4,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2,6,10,3,1,1,6,,,5.2,#N/A,3.09,#N/A,9.85,#N/A,7.65
3,6,10,4,1,0,3,,,6.55,#N/A,2.87,#N/A,3.85,2.89,5.24
4,6,4.28,6,0,0,1,,,4.09,3.09,2.95,4.25,3.53,3.02,3.49
5,6,5.01,6,0,0,2,,,3.06,2.96,3.24,4.98,4.28,3.15,3.61
6,6,4.26,6,0,0,4,,,3.19,3.68,3.09,4.23,3.74,4.06,3.66
7,6,6.49,6,0,0,0,,,2.95,5.3,3.15,6.46,4.78,5.4,4.67
8,6,4.91,6,0,0,0,,,4.87,3.24,2.8,4.36,3.09,3.38,3.62
9,6,4.48,6,0,0,0,,,3.45,2.95,3.54,2.98,3.63,4.45,3.5
10,6,5.44,6,0,0,0,,,5.41,3.12,3.74,4.2,3.22,2.86,3.76
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Average Time
1,5,9.99,1,4,1,4,,,#N/A,#N/A,#N/A,9.98,#N/A,#N/A,9.98
2,6,10,1,3,1,6,,,#N/A,#N/A,#N/A,#N/A,9.58,#N/A,9.89
3,6,10,3,2,1,6,,,#N/A,#N/A,4.45,3.07,#N/A,4,5.39
4,6,7.41,6,0,0,0,,,3.31,5.06,7.28,5.03,7.38,7.22,5.88
5,6,4.96,6,0,0,0,,,4.68,4.93,3.06,2.89,3.29,3.12,3.66
6,6,4.79,6,0,0,0,,,2.92,2.89,4.75,2.74,3.42,3.04,3.29
7,6,3.25,6,0,0,0,,,3.13,3.16,3.22,3.1,3.1,3.1,3.13
8,6,3.52,6,0,0,0,,,2.69,3.49,2.93,3.02,3.46,3.18,3.13
9,6,4.47,6,0,0,0,,,3.4,4.44,3.05,3.02,3.36,3.27,3.42
10,6,4.24,6,0,0,0,,,2.97,4.04,4.21,3.3,3.49,3.11,3.52
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Average Time
1,5,4.46,1,4,1,4,,,#N/A,4.45,#N/A,#N/A,#N/A,#N/A,4.45
2,6,10,1,2,0,3,,,#N/A,#N/A,#N/A,#N/A,9.26,#N/A,9.85
3,6,10,4,0,0,3,,,#N/A,#N/A,3.9,3.32,3.07,3.69,5.68
4,6,3.51,6,0,0,3,,,3.22,2.83,2.91,3.48,3.09,3.45,3.16
5,6,5.57,6,0,0,0,,,2.85,3.02,5.53,3.33,3.85,3.08,3.61
6,6,3.64,6,0,0,0,,,3.23,3.61,3.11,3.45,3.23,2.86,3.25
7,6,3.66,6,0,0,0,,,3.63,3.18,3.11,3.14,2.99,3.05,3.18
8,6,3.38,6,0,0,0,,,3.35,2.75,2.85,3.23,3.32,3.01,3.08
9,6,3.95,6,0,0,0,,,3,2.97,2.97,3.19,3.92,3.26,3.22
10,6,3.24,6,0,0,0,,,3.21,3.18,3.12,3.18,3.02,3.21,3.15
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Average Time
1,5,10,1,3,1,3,,,5.31,#N/A,#N/A,#N/A,#N/A,#N/A,7.68
2,6,10,2,1,0,6,,,#N/A,#N/A,#N/A,9.62,#N/A,8.03,9.56
3,6,10,4,0,0,0,,,#N/A,3.89,5.26,#N/A,5.15,3.36,6.29
4,6,4.08,6,0,0,0,,,2.94,3.86,3.26,3.21,3.21,4.05,3.42
5,6,4.58,6,0,0,0,,,2.89,3.33,4.55,3.2,3.05,3.15,3.36
6,6,4.58,6,0,0,0,,,2.94,4.55,4.38,3,3.16,4.34,3.73
7,6,4.03,6,0,0,0,,,3.25,4,3.07,3.67,2.98,3.1,3.34
8,6,3.72,6,0,0,0,,,3.06,3.09,3.69,2.93,3.15,3.15,3.18
9,6,3.65,6,0,0,0,,,3.29,3.61,3.42,3.29,2.77,3.45,3.3
10,6,3.65,6,0,0,0,,,3.25,3.25,3.49,3.22,3.62,3.4,3.37
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Average Time
1,5,8.23,0,5,1,5,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2,6,10,2,2,1,6,,,#N/A,#N/A,#N/A,#N/A,4.03,4.73,7.22
3,6,10,1,2,0,2,,,#N/A,5.21,#N/A,#N/A,#N/A,#N/A,8.84
4,6,10,4,0,0,2,,,#N/A,#N/A,6.49,4.66,3.8,3.23,6.38
5,6,8.17,6,0,0,0,,,6.23,3.61,8.14,7.85,3.22,2.95,5.33
6,6,4.18,6,0,0,0,,,2.94,3.36,3.74,3.36,3.02,4.14,3.43
7,6,3.41,6,0,0,0,,,3.31,3.03,3.18,3.09,3.31,3.38,3.22
8,6,3.73,6,0,0,0,,,3.43,3.7,3,3.53,3.22,3.37,3.38
9,6,3.79,6,0,0,0,,,3.31,3.15,3.4,2.85,3.76,3.06,3.25
10,6,3.67,6,0,0,0,,,3.15,2.96,3.25,2.87,3.64,3.21,3.18
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Average Time
1,5,3.98,1,4,1,4,,,2.82,#N/A,#N/A,#N/A,#N/A,#N/A,2.82
2,6,10,1,4,1,6,,,#N/A,#N/A,#N/A,#N/A,9.49,#N/A,9.77
3,6,10,2,1,0,2,,,#N/A,#N/A,5.08,#N/A,#N/A,2.82,7.61
